jobid,mass_msun,distance_mpc,flrw_grid_N,bin_id,b_min_mpc,b_max_mpc,b_nbins,b_nperbin,static,local,seed
0,100000000000000.0,200,128,0,0.5,0.9,1,50,1,1,0
1,100000000000000.0,200,128,1,0.9,1.3,1,50,1,1,1
2,100000000000000.0,200,128,2,1.3,1.7000000000000002,1,50,1,1,2
3,100000000000000.0,200,128,3,1.7000000000000002,2.1,1,50,1,1,3
4,100000000000000.0,200,128,4,2.1,2.5,1,50,1,1,4
5,100000000000000.0,200,256,0,0.5,0.9,1,50,1,1,5
6,100000000000000.0,200,256,1,0.9,1.3,1,50,1,1,6
7,100000000000000.0,200,256,2,1.3,1.7000000000000002,1,50,1,1,7
8,100000000000000.0,200,256,3,1.7000000000000002,2.1,1,50,1,1,8
9,100000000000000.0,200,256,4,2.1,2.5,1,50,1,1,9
10,100000000000000.0,500,128,0,0.5,0.9,1,50,1,1,10
11,100000000000000.0,500,128,1,0.9,1.3,1,50,1,1,11
12,100000000000000.0,500,128,2,1.3,1.7000000000000002,1,50,1,1,12
13,100000000000000.0,500,128,3,1.7000000000000002,2.1,1,50,1,1,13
14,100000000000000.0,500,128,4,2.1,2.5,1,50,1,1,14
15,100000000000000.0,500,256,0,0.5,0.9,1,50,1,1,15
16,100000000000000.0,500,256,1,0.9,1.3,1,50,1,1,16
17,100000000000000.0,500,256,2,1.3,1.7000000000000002,1,50,1,1,17
18,100000000000000.0,500,256,3,1.7000000000000002,2.1,1,50,1,1,18
19,100000000000000.0,500,256,4,2.1,2.5,1,50,1,1,19
20,300000000000000.0,200,128,0,0.5,0.9,1,50,1,1,20
21,300000000000000.0,200,128,1,0.9,1.3,1,50,1,1,21
22,300000000000000.0,200,128,2,1.3,1.7000000000000002,1,50,1,1,22
23,300000000000000.0,200,128,3,1.7000000000000002,2.1,1,50,1,1,23
24,300000000000000.0,200,128,4,2.1,2.5,1,50,1,1,24
25,300000000000000.0,200,256,0,0.5,0.9,1,50,1,1,25
26,300000000000000.0,200,256,1,0.9,1.3,1,50,1,1,26
27,300000000000000.0,200,256,2,1.3,1.7000000000000002,1,50,1,1,27
28,300000000000000.0,200,256,3,1.7000000000000002,2.1,1,50,1,1,28
29,300000000000000.0,200,256,4,2.1,2.5,1,50,1,1,29
30,300000000000000.0,500,128,0,0.5,0.9,1,50,1,1,30
31,300000000000000.0,500,128,1,0.9,1.3,1,50,1,1,31
32,300000000000000.0,500,128,2,1.3,1.7000000000000002,1,50,1,1,32
33,300000000000000.0,500,128,3,1.7000000000000002,2.1,1,50,1,1,33
34,300000000000000.0,500,128,4,2.1,2.5,1,50,1,1,34
35,300000000000000.0,500,256,0,0.5,0.9,1,50,1,1,35
36,300000000000000.0,500,256,1,0.9,1.3,1,50,1,1,36
37,300000000000000.0,500,256,2,1.3,1.7000000000000002,1,50,1,1,37
38,300000000000000.0,500,256,3,1.7000000000000002,2.1,1,50,1,1,38
39,300000000000000.0,500,256,4,2.1,2.5,1,50,1,1,39
