jobid,mass_msun,distance_mpc,flrw_grid_N,bin_id,b_min_mpc,b_max_mpc,b_nbins,b_nperbin,static,local,seed
0,10000000000000.0,100.0,64,0,0.5,1.45,1,500,1,1,0
1,10000000000000.0,100.0,64,1,1.45,2.4,1,500,1,1,1
2,10000000000000.0,100.0,64,2,2.4,3.3499999999999996,1,500,1,1,2
3,10000000000000.0,100.0,64,3,3.3499999999999996,4.3,1,500,1,1,3
4,10000000000000.0,100.0,64,4,4.3,5.25,1,500,1,1,4
5,10000000000000.0,100.0,64,5,5.25,6.199999999999999,1,500,1,1,5
6,10000000000000.0,100.0,64,6,6.199999999999999,7.1499999999999995,1,500,1,1,6
7,10000000000000.0,100.0,64,7,7.1499999999999995,8.1,1,500,1,1,7
8,10000000000000.0,100.0,64,8,8.1,9.049999999999999,1,500,1,1,8
9,10000000000000.0,100.0,64,9,9.049999999999999,10.0,1,500,1,1,9
10,10000000000000.0,100.0,80,0,0.5,1.45,1,500,1,1,10
11,10000000000000.0,100.0,80,1,1.45,2.4,1,500,1,1,11
12,10000000000000.0,100.0,80,2,2.4,3.3499999999999996,1,500,1,1,12
13,10000000000000.0,100.0,80,3,3.3499999999999996,4.3,1,500,1,1,13
14,10000000000000.0,100.0,80,4,4.3,5.25,1,500,1,1,14
15,10000000000000.0,100.0,80,5,5.25,6.199999999999999,1,500,1,1,15
16,10000000000000.0,100.0,80,6,6.199999999999999,7.1499999999999995,1,500,1,1,16
17,10000000000000.0,100.0,80,7,7.1499999999999995,8.1,1,500,1,1,17
18,10000000000000.0,100.0,80,8,8.1,9.049999999999999,1,500,1,1,18
19,10000000000000.0,100.0,80,9,9.049999999999999,10.0,1,500,1,1,19
20,10000000000000.0,100.0,96,0,0.5,1.45,1,500,1,1,20
21,10000000000000.0,100.0,96,1,1.45,2.4,1,500,1,1,21
22,10000000000000.0,100.0,96,2,2.4,3.3499999999999996,1,500,1,1,22
23,10000000000000.0,100.0,96,3,3.3499999999999996,4.3,1,500,1,1,23
24,10000000000000.0,100.0,96,4,4.3,5.25,1,500,1,1,24
25,10000000000000.0,100.0,96,5,5.25,6.199999999999999,1,500,1,1,25
26,10000000000000.0,100.0,96,6,6.199999999999999,7.1499999999999995,1,500,1,1,26
27,10000000000000.0,100.0,96,7,7.1499999999999995,8.1,1,500,1,1,27
28,10000000000000.0,100.0,96,8,8.1,9.049999999999999,1,500,1,1,28
29,10000000000000.0,100.0,96,9,9.049999999999999,10.0,1,500,1,1,29
30,10000000000000.0,100.0,112,0,0.5,1.45,1,500,1,1,30
31,10000000000000.0,100.0,112,1,1.45,2.4,1,500,1,1,31
32,10000000000000.0,100.0,112,2,2.4,3.3499999999999996,1,500,1,1,32
33,10000000000000.0,100.0,112,3,3.3499999999999996,4.3,1,500,1,1,33
34,10000000000000.0,100.0,112,4,4.3,5.25,1,500,1,1,34
35,10000000000000.0,100.0,112,5,5.25,6.199999999999999,1,500,1,1,35
36,10000000000000.0,100.0,112,6,6.199999999999999,7.1499999999999995,1,500,1,1,36
37,10000000000000.0,100.0,112,7,7.1499999999999995,8.1,1,500,1,1,37
38,10000000000000.0,100.0,112,8,8.1,9.049999999999999,1,500,1,1,38
39,10000000000000.0,100.0,112,9,9.049999999999999,10.0,1,500,1,1,39
40,10000000000000.0,100.0,128,0,0.5,1.45,1,500,1,1,40
41,10000000000000.0,100.0,128,1,1.45,2.4,1,500,1,1,41
42,10000000000000.0,100.0,128,2,2.4,3.3499999999999996,1,500,1,1,42
43,10000000000000.0,100.0,128,3,3.3499999999999996,4.3,1,500,1,1,43
44,10000000000000.0,100.0,128,4,4.3,5.25,1,500,1,1,44
45,10000000000000.0,100.0,128,5,5.25,6.199999999999999,1,500,1,1,45
46,10000000000000.0,100.0,128,6,6.199999999999999,7.1499999999999995,1,500,1,1,46
47,10000000000000.0,100.0,128,7,7.1499999999999995,8.1,1,500,1,1,47
48,10000000000000.0,100.0,128,8,8.1,9.049999999999999,1,500,1,1,48
49,10000000000000.0,100.0,128,9,9.049999999999999,10.0,1,500,1,1,49
50,10000000000000.0,100.0,160,0,0.5,1.45,1,500,1,1,50
51,10000000000000.0,100.0,160,1,1.45,2.4,1,500,1,1,51
52,10000000000000.0,100.0,160,2,2.4,3.3499999999999996,1,500,1,1,52
53,10000000000000.0,100.0,160,3,3.3499999999999996,4.3,1,500,1,1,53
54,10000000000000.0,100.0,160,4,4.3,5.25,1,500,1,1,54
55,10000000000000.0,100.0,160,5,5.25,6.199999999999999,1,500,1,1,55
56,10000000000000.0,100.0,160,6,6.199999999999999,7.1499999999999995,1,500,1,1,56
57,10000000000000.0,100.0,160,7,7.1499999999999995,8.1,1,500,1,1,57
58,10000000000000.0,100.0,160,8,8.1,9.049999999999999,1,500,1,1,58
59,10000000000000.0,100.0,160,9,9.049999999999999,10.0,1,500,1,1,59
60,10000000000000.0,100.0,192,0,0.5,1.45,1,500,1,1,60
61,10000000000000.0,100.0,192,1,1.45,2.4,1,500,1,1,61
62,10000000000000.0,100.0,192,2,2.4,3.3499999999999996,1,500,1,1,62
63,10000000000000.0,100.0,192,3,3.3499999999999996,4.3,1,500,1,1,63
64,10000000000000.0,100.0,192,4,4.3,5.25,1,500,1,1,64
65,10000000000000.0,100.0,192,5,5.25,6.199999999999999,1,500,1,1,65
66,10000000000000.0,100.0,192,6,6.199999999999999,7.1499999999999995,1,500,1,1,66
67,10000000000000.0,100.0,192,7,7.1499999999999995,8.1,1,500,1,1,67
68,10000000000000.0,100.0,192,8,8.1,9.049999999999999,1,500,1,1,68
69,10000000000000.0,100.0,192,9,9.049999999999999,10.0,1,500,1,1,69
70,10000000000000.0,100.0,256,0,0.5,1.45,1,500,1,1,70
71,10000000000000.0,100.0,256,1,1.45,2.4,1,500,1,1,71
72,10000000000000.0,100.0,256,2,2.4,3.3499999999999996,1,500,1,1,72
73,10000000000000.0,100.0,256,3,3.3499999999999996,4.3,1,500,1,1,73
74,10000000000000.0,100.0,256,4,4.3,5.25,1,500,1,1,74
75,10000000000000.0,100.0,256,5,5.25,6.199999999999999,1,500,1,1,75
76,10000000000000.0,100.0,256,6,6.199999999999999,7.1499999999999995,1,500,1,1,76
77,10000000000000.0,100.0,256,7,7.1499999999999995,8.1,1,500,1,1,77
78,10000000000000.0,100.0,256,8,8.1,9.049999999999999,1,500,1,1,78
79,10000000000000.0,100.0,256,9,9.049999999999999,10.0,1,500,1,1,79
80,10000000000000.0,100.0,350,0,0.5,1.45,1,500,1,1,80
81,10000000000000.0,100.0,350,1,1.45,2.4,1,500,1,1,81
82,10000000000000.0,100.0,350,2,2.4,3.3499999999999996,1,500,1,1,82
83,10000000000000.0,100.0,350,3,3.3499999999999996,4.3,1,500,1,1,83
84,10000000000000.0,100.0,350,4,4.3,5.25,1,500,1,1,84
