jobid,mass_msun,radius_mpc,distance_mpc,integrator,flrw_grid_N,cone_angle_deg,cone_nphotons,static,local,record_every,progress_every,renormalize_every,n_steps,steps_per_cell,flrw_grid_size_mpc,seed
0,10000000000000.0,1.5,300.0,rk4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,0
1,10000000000000.0,1.5,300.0,leapfrog4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,1
2,10000000000000.0,3.0,300.0,rk4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,2
3,10000000000000.0,3.0,300.0,leapfrog4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,3
4,10000000000000.0,1.5,300.0,rk4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,4
5,10000000000000.0,1.5,300.0,leapfrog4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,5
6,10000000000000.0,3.0,300.0,rk4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,6
7,10000000000000.0,3.0,300.0,leapfrog4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,7
8,10000000000000.0,1.5,500.0,rk4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,8
9,10000000000000.0,1.5,500.0,leapfrog4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,9
10,10000000000000.0,3.0,500.0,rk4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,10
11,10000000000000.0,3.0,500.0,leapfrog4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,11
12,10000000000000.0,1.5,500.0,rk4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,12
13,10000000000000.0,1.5,500.0,leapfrog4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,13
14,10000000000000.0,3.0,500.0,rk4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,14
15,10000000000000.0,3.0,500.0,leapfrog4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,15
16,50000000000000.0,1.5,300.0,rk4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,16
17,50000000000000.0,1.5,300.0,leapfrog4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,17
18,50000000000000.0,3.0,300.0,rk4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,18
19,50000000000000.0,3.0,300.0,leapfrog4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,19
20,50000000000000.0,1.5,300.0,rk4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,20
21,50000000000000.0,1.5,300.0,leapfrog4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,21
22,50000000000000.0,3.0,300.0,rk4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,22
23,50000000000000.0,3.0,300.0,leapfrog4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,23
24,50000000000000.0,1.5,500.0,rk4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,24
25,50000000000000.0,1.5,500.0,leapfrog4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,25
26,50000000000000.0,3.0,500.0,rk4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,26
27,50000000000000.0,3.0,500.0,leapfrog4,128,10.0,50,1,1,0,0,0,5000,3.0,1000.0,27
28,50000000000000.0,1.5,500.0,rk4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,28
29,50000000000000.0,1.5,500.0,leapfrog4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,29
30,50000000000000.0,3.0,500.0,rk4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,30
31,50000000000000.0,3.0,500.0,leapfrog4,256,10.0,50,1,1,0,0,0,5000,3.0,1000.0,31
