photon,S_n_records,S_path_length_m,S_min_r_m,S_bend_rad,F_n_records,F_path_length_m,F_min_r_m,F_bend_rad,delta_bend_rad
0,2,0.0,nan,0.0,2,1.856227919819909e+25,9.257032743e+24,0.0,0.0
1,2,0.0,nan,0.0,2,1.8562279180648272e+25,9.257032743e+24,1.3244441773467654e-07,1.3244441773467654e-07
2,2,0.0,nan,0.0,2,1.856227915232038e+25,9.257032743e+24,5.491234592404517e-07,5.491234592404517e-07
3,2,0.0,nan,0.0,2,1.8562279127381418e+25,9.257032743e+24,5.440454561569961e-07,5.440454561569961e-07
4,2,0.0,nan,0.0,2,1.856227914093731e+25,9.257032743e+24,5.006878857735282e-07,5.006878857735282e-07
5,2,0.0,nan,0.0,2,1.8562279183958947e+25,9.257032743e+24,1.3493575361575816e-07,1.3493575361575816e-07
6,2,0.0,nan,0.0,2,1.8562279181239597e+25,9.257032743e+24,1.3160349229466696e-07,1.3160349229466696e-07
7,2,0.0,nan,0.0,2,1.8562279179589468e+25,9.257032743e+24,1.3978528260658483e-07,1.3978528260658483e-07
8,2,0.0,nan,0.0,2,1.8562279176628619e+25,9.257032743e+24,8.296615425989067e-08,8.296615425989067e-08
9,2,0.0,nan,0.0,2,1.8562279173415968e+25,9.257032743e+24,1.0430812835693365e-07,1.0430812835693365e-07
10,2,0.0,nan,0.0,2,1.8562279164814087e+25,9.257032743e+24,1.3075715880680275e-07,1.3075715880680275e-07
11,2,0.0,nan,0.0,2,1.8562279168968321e+25,9.257032743e+24,1.2105760581248948e-07,1.2105760581248948e-07
12,2,0.0,nan,0.0,2,1.8562279174113608e+25,9.257032743e+24,9.65705618025044e-08,9.65705618025044e-08
13,2,0.0,nan,0.0,2,1.8562279177288216e+25,9.257032743e+24,8.296615425989067e-08,8.296615425989067e-08
14,2,0.0,nan,0.0,2,1.8562279176790586e+25,9.257032743e+24,8.296615425989067e-08,8.296615425989067e-08
15,2,0.0,nan,0.0,2,1.8562279173809948e+25,9.257032743e+24,6.143906154658886e-08,6.143906154658886e-08
16,2,0.0,nan,0.0,2,1.8562279172398353e+25,9.257032743e+24,6.989264130329237e-08,6.989264130329237e-08
17,2,0.0,nan,0.0,2,1.8562279166049103e+25,9.257032743e+24,8.560065398421929e-08,8.560065398421929e-08
18,2,0.0,nan,0.0,2,1.8562279165398892e+25,9.257032743e+24,8.560065398421929e-08,8.560065398421929e-08
19,2,0.0,nan,0.0,2,1.856227917117827e+25,9.257032743e+24,7.300048299977716e-08,7.300048299977716e-08
20,2,0.0,nan,0.0,2,1.8562279174382688e+25,9.257032743e+24,6.495265578539184e-08,6.495265578539184e-08
21,2,0.0,nan,0.0,2,1.856227917551888e+25,9.257032743e+24,5.575503985246929e-08,5.575503985246929e-08
22,2,0.0,nan,0.0,2,1.8562279174113014e+25,9.257032743e+24,4.712160915387242e-08,4.712160915387242e-08
23,2,0.0,nan,0.0,2,1.8562279170864723e+25,9.257032743e+24,5.372690074837192e-08,5.372690074837192e-08
24,2,0.0,nan,0.0,2,1.8562279168719147e+25,9.257032743e+24,6.143906154658886e-08,6.143906154658886e-08
25,2,0.0,nan,0.0,2,1.8562279167447448e+25,9.257032743e+24,6.322027276634106e-08,6.322027276634106e-08
26,2,0.0,nan,0.0,2,1.8562279171040497e+25,9.257032743e+24,5.372690074837192e-08,5.372690074837192e-08
27,2,0.0,nan,0.0,2,1.8562279174594153e+25,9.257032743e+24,4.712160915387242e-08,4.712160915387242e-08
28,2,0.0,nan,0.0,2,1.8562279174802182e+25,9.257032743e+24,4.4703483581542975e-08,4.4703483581542975e-08
29,2,0.0,nan,0.0,2,1.8562279174964847e+25,9.257032743e+24,3.6500241499888574e-08,3.6500241499888574e-08
30,2,0.0,nan,0.0,2,1.8562279173444987e+25,9.257032743e+24,3.6500241499888574e-08,3.6500241499888574e-08
31,2,0.0,nan,0.0,2,1.8562279170312e+25,9.257032743e+24,4.712160915387242e-08,4.712160915387242e-08
32,2,0.0,nan,0.0,2,1.8562279170416617e+25,9.257032743e+24,4.4703483581542975e-08,4.4703483581542975e-08
33,2,0.0,nan,0.0,2,1.856227917302637e+25,9.257032743e+24,3.942476676500724e-08,3.942476676500724e-08
34,2,0.0,nan,0.0,2,1.8562279174851426e+25,9.257032743e+24,3.332000937312528e-08,3.332000937312528e-08
35,2,0.0,nan,0.0,2,1.8562279176005703e+25,9.257032743e+24,3.332000937312528e-08,3.332000937312528e-08
36,2,4.149264449186082e+25,9.257032743e+24,0.20895637391547392,2,1.8562279175457701e+25,9.257032743e+24,3.6500241499888574e-08,-0.20895633741523242
37,2,0.0,nan,0.0,2,1.856227917388221e+25,9.257032743e+24,2.9802322387695312e-08,2.9802322387695312e-08
38,2,5.9164672034517355e+25,9.257032743e+24,0.31037930765841176,2,1.856227917128901e+25,9.257032743e+24,3.332000937312528e-08,-0.3103792743384024
39,2,0.0,nan,0.0,2,1.8562279170929088e+25,9.257032743e+24,3.6500241499888574e-08,3.6500241499888574e-08
40,2,0.0,nan,0.0,2,1.8562279172967982e+25,9.257032743e+24,3.6500241499888574e-08,3.6500241499888574e-08
41,2,5.916467203452044e+25,9.257032743e+24,0.31037930765842264,2,1.8562279175158885e+25,9.257032743e+24,3.6500241499888574e-08,-0.31037927115818115
42,2,0.0,nan,0.0,2,1.8562279176081827e+25,9.257032743e+24,2.9802322387695312e-08,2.9802322387695312e-08
