photon,S_n_records,S_path_length_m,S_min_r_m,S_bend_rad,F_n_records,F_path_length_m,F_min_r_m,F_bend_rad,delta_bend_rad
0,2,0.0,nan,0.0,2,1.8522101104700014e+25,9.257032743e+24,0.0,0.0
1,2,0.0,nan,0.0,2,1.8522101087250606e+25,9.257032743e+24,1.3160349229466696e-07,1.3160349229466696e-07
2,2,0.0,nan,0.0,2,1.8522101059112314e+25,9.257032743e+24,5.491234592404517e-07,5.491234592404517e-07
3,2,0.0,nan,0.0,2,1.8522101034304598e+25,9.257032743e+24,5.446573162823108e-07,5.446573162823108e-07
4,2,0.0,nan,0.0,2,1.8522101045698859e+25,9.257032743e+24,5.107860714496015e-07,5.107860714496015e-07
5,2,0.0,nan,0.0,2,1.8522101090045176e+25,9.257032743e+24,1.3160349229466696e-07,1.3160349229466696e-07
6,2,0.0,nan,0.0,2,1.8522101087824678e+25,9.257032743e+24,1.3075715880680275e-07,1.3075715880680275e-07
7,2,0.0,nan,0.0,2,1.8522101086205466e+25,9.257032743e+24,1.4057727354849297e-07,1.4057727354849297e-07
8,2,2.619696574294484e+25,9.257032743e+24,0.08638107668195283,2,1.852210108307312e+25,9.257032743e+24,8.429369702178808e-08,-0.0863809923882558
9,2,0.0,nan,0.0,2,1.8522101079808458e+25,9.257032743e+24,1.0641557616804321e-07,1.0641557616804321e-07
10,2,2.706754078058828e+25,9.257032743e+24,0.11067910065080928,2,1.852210107121588e+25,9.257032743e+24,1.3075715880680275e-07,-0.11067896989365048
11,2,0.0,nan,0.0,2,1.8522101073608924e+25,9.257032743e+24,1.2904784139758934e-07,1.2904784139758934e-07
12,2,0.0,nan,0.0,2,1.852210107892013e+25,9.257032743e+24,1.0106459234841571e-07,1.0106459234841571e-07
13,2,2.706754078058816e+25,9.257032743e+24,0.11067910065080627,2,1.8522101083726564e+25,9.257032743e+24,8.024520884654679e-08,-0.11067902040559742
14,2,0.0,nan,0.0,2,1.8522101083204122e+25,9.257032743e+24,8.161702118890975e-08,8.161702118890975e-08
15,2,2.1513099749795887e+25,9.257032743e+24,0.021764965273240195,2,1.8522101081214184e+25,9.257032743e+24,6.143906154658886e-08,-0.02176490383417865
16,2,2.4011205502500094e+25,9.257032743e+24,0.07360188003276333,2,1.8522101080445486e+25,9.257032743e+24,6.828569911354543e-08,-0.07360181174706422
17,2,2.1667576758235245e+25,9.257032743e+24,0.024711384387639965,2,1.8522101073688888e+25,9.257032743e+24,8.161702118890975e-08,-0.024711302770618775
18,2,0.0,nan,0.0,2,1.8522101072768472e+25,9.257032743e+24,8.429369702178808e-08,8.429369702178808e-08
19,2,0.0,nan,0.0,2,1.8522101078566521e+25,9.257032743e+24,6.989264130329237e-08,6.989264130329237e-08
20,2,2.166757675823525e+25,9.257032743e+24,0.0247113843876175,2,1.8522101081802543e+25,9.257032743e+24,6.322027276634106e-08,-0.024711321167344733
21,2,2.401120550250013e+25,9.257032743e+24,0.07360188003274823,2,1.8522101083209295e+25,9.257032743e+24,5.575503985246929e-08,-0.07360182427770838
22,2,2.041070071348985e+25,9.257032743e+24,0.01011444588181067,2,1.852210108060044e+25,9.257032743e+24,4.4703483581542975e-08,-0.010114401178327088
23,2,2.1454365981633718e+25,9.257032743e+24,0.0243813698664628,2,1.8522101077499933e+25,9.257032743e+24,5.575503985246929e-08,-0.02438131411142295
24,2,2.048752332387975e+25,9.257032743e+24,0.010970426897024798,2,1.852210107517802e+25,9.257032743e+24,6.143906154658886e-08,-0.010970365457963252
25,2,6.636536904083979e+25,9.257032743e+24,0.3529010335403054,2,1.852210107403983e+25,9.257032743e+24,5.960464477539064e-08,-0.3529009739356606
26,2,6.636536904084359e+25,9.257032743e+24,0.3529010335403096,2,1.8522101077548182e+25,9.257032743e+24,5.372690074837192e-08,-0.35290097981340884
27,2,2.048752332387979e+25,9.257032743e+24,0.010970426897024798,2,1.8522101081043708e+25,9.257032743e+24,4.712160915387242e-08,-0.010970379775415644
