photon,S_n_records,S_path_length_m,S_min_r_m,S_bend_rad,F_n_records,F_path_length_m,F_min_r_m,F_bend_rad,delta_bend_rad
0,2,0.0,nan,0.0,2,1.852210110469885e+25,9.257032743e+24,0.0,0.0
1,2,0.0,nan,0.0,2,1.8522101088775757e+25,9.257032743e+24,1.2105760581248948e-07,1.2105760581248948e-07
2,2,0.0,nan,0.0,2,1.8522101069648584e+25,9.257032743e+24,4.2199499185402397e-07,4.2199499185402397e-07
3,2,0.0,nan,0.0,2,1.8522101050690925e+25,9.257032743e+24,4.1856085971558815e-07,4.1856085971558815e-07
4,2,0.0,nan,0.0,2,1.8522101060064197e+25,9.257032743e+24,3.880028893438464e-07,3.880028893438464e-07
5,2,0.0,nan,0.0,2,1.8522101091541023e+25,9.257032743e+24,1.20137002293744e-07,1.20137002293744e-07
6,2,0.0,nan,0.0,2,1.852210108927984e+25,9.257032743e+24,1.2105760581248948e-07,1.2105760581248948e-07
7,2,0.0,nan,0.0,2,1.8522101088002852e+25,9.257032743e+24,1.2818463544611084e-07,1.2818463544611084e-07
8,2,0.0,nan,0.0,2,1.852210108311172e+25,9.257032743e+24,8.296615425989067e-08,8.296615425989067e-08
9,2,0.0,nan,0.0,2,1.8522101079852789e+25,9.257032743e+24,1.0745380149674388e-07,1.0745380149674388e-07
10,2,0.0,nan,0.0,2,1.8522101071291602e+25,9.257032743e+24,1.3160349229466696e-07,1.3160349229466696e-07
11,2,0.0,nan,0.0,2,1.8522101073957467e+25,9.257032743e+24,1.2818463544611084e-07,1.2818463544611084e-07
12,2,0.0,nan,0.0,2,1.8522101079163764e+25,9.257032743e+24,1.0106459234841571e-07,1.0106459234841571e-07
13,2,0.0,nan,0.0,2,1.85221010837476e+25,9.257032743e+24,8.024520884654679e-08,8.024520884654679e-08
14,2,0.0,nan,0.0,2,1.8522101083224254e+25,9.257032743e+24,8.296615425989067e-08,8.296615425989067e-08
15,2,7.470533871177776e+25,9.257032743e+24,0.22314426909454774,2,1.8522101080625696e+25,9.257032743e+24,6.322027276634106e-08,-0.22314420587427497
16,2,0.0,nan,0.0,2,1.8522101079639052e+25,9.257032743e+24,6.828569911354543e-08,6.828569911354543e-08
17,2,0.0,nan,0.0,2,1.8522101072666692e+25,9.257032743e+24,8.688795409866128e-08,8.688795409866128e-08
18,2,0.0,nan,0.0,2,1.8522101072148818e+25,9.257032743e+24,8.560065398421929e-08,8.560065398421929e-08
19,2,0.0,nan,0.0,2,1.8522101077997925e+25,9.257032743e+24,6.989264130329237e-08,6.989264130329237e-08
20,2,0.0,nan,0.0,2,1.852210108122491e+25,9.257032743e+24,6.322027276634106e-08,6.322027276634106e-08
21,2,0.0,nan,0.0,2,1.8522101082637006e+25,9.257032743e+24,5.575503985246929e-08,5.575503985246929e-08
22,2,2.5519835360138673e+25,9.257032743e+24,0.07985167034619695,2,1.852210108061669e+25,9.257032743e+24,4.942156062059701e-08,-0.07985162092463632
23,2,0.0,nan,0.0,2,1.852210107757431e+25,9.257032743e+24,5.771194914292421e-08,5.771194914292421e-08
24,2,2.623785841474125e+25,9.257032743e+24,0.09808861730509977,2,1.8522101075264952e+25,9.257032743e+24,5.771194914292421e-08,-0.09808855959315063
25,2,0.0,nan,0.0,2,1.8522101073885299e+25,9.257032743e+24,6.143906154658886e-08,6.143906154658886e-08
26,2,0.0,nan,0.0,2,1.8522101077509747e+25,9.257032743e+24,5.575503985246929e-08,5.575503985246929e-08
27,2,2.6237858414741286e+25,9.257032743e+24,0.0980886173051043,2,1.852210108110503e+25,9.257032743e+24,4.2146848510894035e-08,-0.0980885751582558
28,2,0.0,nan,0.0,2,1.8522101081421165e+25,9.257032743e+24,4.712160915387242e-08,4.712160915387242e-08
29,2,2.255409002119632e+25,9.257032743e+24,0.037348372315743984,2,1.8522101081002036e+25,9.257032743e+24,3.942476676500724e-08,-0.03734833289097722
30,2,2.7649621347190753e+25,9.257032743e+24,0.14415916540712917,2,1.8522101079457123e+25,9.257032743e+24,3.942476676500724e-08,-0.1441591259823624
31,2,2.2804832431216477e+25,9.257032743e+24,0.042268610296931436,2,1.8522101076222496e+25,9.257032743e+24,4.712160915387242e-08,-0.04226856317532228
32,2,0.0,nan,0.0,2,1.8522101075917222e+25,9.257032743e+24,4.942156062059701e-08,4.942156062059701e-08
33,2,0.0,nan,0.0,2,1.8522101078814966e+25,9.257032743e+24,3.942476676500724e-08,3.942476676500724e-08
34,2,2.2804832431216537e+25,9.257032743e+24,0.042268610296928806,2,1.852210108104806e+25,9.257032743e+24,3.6500241499888574e-08,-0.0422685737966873
35,2,2.764962134719088e+25,9.257032743e+24,0.14415916540712764,2,1.8522101082203195e+25,9.257032743e+24,2.9802322387695312e-08,-0.14415913560480526
36,2,2.139395297806103e+25,9.257032743e+24,0.02244854263042891,2,1.8522101082048986e+25,9.257032743e+24,3.332000937312528e-08,-0.022448509310419536
37,2,2.358902801360385e+25,9.257032743e+24,0.0611259145566625,2,1.852210108057489e+25,9.257032743e+24,3.332000937312528e-08,-0.06112588123665313
38,2,2.153512547982338e+25,9.257032743e+24,0.024489378425708638,2,1.852210107796021e+25,9.257032743e+24,3.942476676500724e-08,-0.024489339000941874
39,2,0.0,nan,0.0,2,1.8522101077610612e+25,9.257032743e+24,4.2146848510894035e-08,4.2146848510894035e-08
40,2,0.0,nan,0.0,2,1.852210107967784e+25,9.257032743e+24,2.9802322387695312e-08,2.9802322387695312e-08
41,2,2.153512547982347e+25,9.257032743e+24,0.024489378425685968,2,1.852210108183273e+25,9.257032743e+24,3.332000937312528e-08,-0.024489345105676595
42,2,2.358902801360386e+25,9.257032743e+24,0.06112591455667159,2,1.852210108276771e+25,9.257032743e+24,2.1073424255447017e-08,-0.06112589348324733
